name,url_referal,url_image,is_apple,has_gpu,price_range,laptop_set,user,checked
Lenovo LOQ-15 Ryzen 7-7435HS/32GB/512+1TB/Win11X RTX4060,https://www.x-kom.pl/p/1280095-laptop-15-16-lenovo-loq-15-ryzen-7-7435hs-32gb-5121tb-win11x-rtx4060-144hz.html?sm=H04KTLlQ,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/7/pr_2024_7_19_8_8_23_553_02.jpg",n,y,mid,s1,"architect, video editing, engineer",2024-11-30
Lenovo IdeaPad Gaming 3–15 R5–7535HS/16GB/512/Win11 RTX3050,https://www.x-kom.pl/p/1221338-notebook-laptop-156-lenovo-ideapad-gaming-3-15-r5-7535hs-16gb-512-win11-rtx3050.html?sm=wPTZo9S4,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-small,,2024/2/pr_2024_2_7_13_49_48_467_00.jpg",n,y,mid,s1,"architect, video editing, engineer",2024-11-30
Dell G15 5530 i5-13450HX/32GB/512+1TB/Win11 RTX3050 120Hz,https://www.x-kom.pl/p/1260734-laptop-15-16-dell-g15-5530-i5-13450hx-32gb-5121tb-win11-rtx3050-120hz.html?sm=Xle607RF,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_28_14_21_55_287_09.jpg",n,y,mid,s1,"architect, video editing, engineer",2024-11-30
Lenovo Legion Slim 5-16 Ryzen 7-8845HS/32GB/512+1TB/Win11 RTX4060,https://www.x-kom.pl/p/1280022-laptop-15-16-lenovo-legion-slim-5-16-ryzen-7-8845hs-32gb-5121tb-win11-rtx4060.html?sm=KoT6MgkV,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/7/pr_2024_7_19_7_12_47_494_02.jpg",n,y,high,s1,"architect, video editing, engineer",2024-11-30
Dell Inspiron 16 Plus Ultra 7 155H/32GB/2TB/Win11P RTX4060,https://www.x-kom.pl/p/1234494-laptop-15-16-dell-inspiron-16-plus-ultra-7-155h-32gb-2tb-win11p-rtx4060.html?sm=ipZljlm1,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/3/pr_2024_3_27_8_42_40_250_00.jpg",n,y,high,s1,"architect, video editing, engineer",2024-11-30
Dell XPS 16 9640 Ultra 7 155H/64GB/2TB/Win11P RTX4070 OLED,https://www.x-kom.pl/p/1232145-laptop-15-16-dell-xps-16-9640-ultra-7-155h-64gb-2tb-win11p-rtx4070-oled.html?sm=Z3bOHVPy,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/3/pr_2024_3_6_10_37_28_300_04.jpg",n,y,high,s1,"architect, video editing, engineer",2024-11-30
Acer Aspire 3 R7-5700U/32GB/1TB+1TB/Win11,https://www.x-kom.pl/p/1263706-laptop-15-16-acer-aspire-3-r7-5700u-32gb-1tb1tb-win11.html?sm=wW7bLbKL,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/11/pr_2023_11_10_7_59_16_251_05.jpg",n,n,mid,s2,"programmer, med student",2024-11-30
Dell Inspiron 3520 i5-1235U/32GB/512+1TB/Win11,https://www.x-kom.pl/p/1273035-laptop-15-16-dell-inspiron-3520-i5-1235u-32gb-5121tb-win11-120hz.html?sm=5tMCoks1,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_30_11_19_5_191_00.jpg",n,y,mid,s2,"programmer, med student",2024-11-30
Lenovo ThinkPad E16 Ultra 7-155H/32GB/512/Win11P,https://www.x-kom.pl/p/1263771-laptop-15-16-lenovo-thinkpad-e16-ultra-7-155h-32gb-512-win11p.html?sm=uvGkN90O,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/6/pr_2024_6_26_10_57_41_73_00.jpg",n,n,mid,s2,"programmer, med student",2024-11-30
Dell Precision 3590 Ultra 7 155H/32GB/512+1TB/Win11P RTX500,https://www.x-kom.pl/p/1272189-laptop-15-16-dell-precision-3590-ultra-7-155h-32gb-5121tb-win11p-rtx500.html?sm=z65dIWlX,"https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2024/4/pr_2024_4_4_8_36_32_596_01.jpg",n,n,high,s2,programmer,2024-11-30
